mesh_code,land_ratio,ratio_clas
"43295122",0.000,less_half
"43295127",0.000,less_half
"43295172",0.000,less_half
"43295177",0.250,less_half
"43296222",0.000,less_half
"43296227",0.000,less_half
"43296272",0.000,less_half
"43296277",0.046,less_half
"43291622",0.000,less_half
"43291627",0.000,less_half
"43291672",0.000,less_half
"43291677",0.000,less_half
"44291422",0.000,less_half
"44291427",0.119,less_half
"44291472",0.000,less_half
"44291477",0.148,less_half
"44294422",0.075,less_half
"44294427",0.000,less_half
"44294472",0.000,less_half
"44294477",0.000,less_half
"44296422",0.000,less_half
"44296427",0.000,less_half
"44296472",0.145,less_half
"44296477",0.013,less_half
"44293522",0.000,less_half
"44293527",0.189,less_half
"44293572",0.011,less_half
"44293577",0.751,more_half
"44294522",0.000,less_half
"44294527",0.039,less_half
"44294572",0.000,less_half
"44294577",0.000,less_half
"44295622",0.000,less_half
"44295627",0.000,less_half
"44295672",0.000,less_half
"44295677",0.098,less_half
"44296622",0.000,less_half
"44296627",0.549,more_half
"44296672",0.000,less_half
"44296677",0.072,less_half
"44295722",0.000,less_half
"44295727",0.000,less_half
"44295772",0.199,less_half
"44295777",0.000,less_half
"44296722",0.315,less_half
"44296727",0.000,less_half
"44296772",0.000,less_half
"44296777",0.000,less_half
"44297722",0.051,less_half
"44297727",0.022,less_half
"44297772",0.356,less_half
"44297777",0.034,less_half
"44405222",0.000,less_half
"44405227",0.000,less_half
"44405272",0.000,less_half
"44405277",0.000,less_half
"45290722",0.019,less_half
"45290727",0.000,less_half
"45290772",0.000,less_half
"45290777",0.000,less_half
"45300022",0.000,less_half
"45300027",0.000,less_half
"45300072",0.000,less_half
"45300077",0.000,less_half
"45305122",0.012,less_half
"45305127",0.628,more_half
"45305172",0.276,less_half
"45305177",0.293,less_half
"45305222",0.083,less_half
"45305227",0.000,less_half
"45305272",0.000,less_half
"45305277",0.000,less_half
"45302322",0.000,less_half
"45302327",0.000,less_half
"45302372",0.012,less_half
"45302377",0.403,less_half
"45303322",0.302,less_half
"45303327",1.000,more_half
"45303372",0.581,more_half
"45303377",1.000,more_half
"45304322",0.881,more_half
"45304327",1.000,more_half
"45304372",0.529,more_half
"45304377",0.999,more_half
"45305322",0.000,less_half
"45305327",0.674,more_half
"45305372",0.000,less_half
"45305377",0.027,less_half
"45302422",0.000,less_half
"45302427",0.000,less_half
"45302472",0.447,less_half
"45302477",0.122,less_half
"45303422",1.000,more_half
"45303427",0.864,more_half
"45303472",1.000,more_half
"45303477",1.000,more_half
"45304422",1.000,more_half
